,name,count
0,Donald Trump,40578
1,Joe Biden,26064
2,Prince,19983
3,Kamala Harris,10505
4,Future,9476
5,Boris Johnson,7708
6,Elizabeth Warren,7691
7,George Floyd,6882
8,Melania Trump,6811
9,Elon Musk,6551
10,Nancy Pelosi,6525
11,Kim Jong Un,6276
12,Ted Cruz,5852
13,Meghan Markle,5666
14,Prince Harry,5639
15,Ivanka Trump,5536
16,LeBron James,5098
17,Harvey Weinstein,5069
18,Pope Francis,5051
19,Jeff Sessions,4890
20,Tucker Carlson,4781
21,Mike Pence,4663
22,Theresa May,4584
23,Tom Brady,4518
24,Taylor Swift,4456
25,Ilhan Omar,4405
26,Lindsey Graham,4351
27,Rand Paul,4324
28,Mitch McConnell,4297
29,Brett Kavanaugh,4020
30,Steve Bannon,3886
31,Tiger Woods,3846
32,Kanye West,3840
33,Andrew Cuomo,3796
34,James Comey,3730
35,Michelle Obama,3648
36,John McCain,3481
37,Robert Mueller,3455
38,Alexandria Ocasio-Cortez,3397
39,Pete Buttigieg,3396
40,Jussie Smollett,3371
41,Kim Kardashian,3280
42,Kellyanne Conway,3261
43,Michael Flynn,3232
44,NF,3225
45,Barack Obama,3095
46,Jared Kushner,3067
47,Serena Williams,3012
48,Mark Zuckerberg,2844
49,Colin Kaepernick,2753
50,Meghan McCain,2746
51,Chris Cuomo,2743
52,Jeff Bezos,2645
53,Stephen Colbert,2645
54,Jimmy Kimmel,2590
55,Nikki Haley,2550
56,Ariana Grande,2527
57,Liz Cheney,2458
58,R. Kelly,2447
59,Beto O'Rourke,2380
60,Derek Chauvin,2370
61,Amy Coney Barrett,2316
62,Mike Pompeo,2289
63,Stacey Abrams,2286
64,Drake,2276
65,Maxine Waters,2226
66,Mitt Romney,2202
67,Aaron Rodgers,2201
68,Vladimir Putin,2147
69,Breonna Taylor,2142
70,John Kelly,2120
71,Bill Cosby,2097
72,Kyle Rittenhouse,2083
73,Cardi B,2081
74,Ruth Bader Ginsburg,2056
75,Alec Baldwin,2031
76,Sean Hannity,2003
77,Bill Gates,1987
78,Marjorie Taylor Greene,1981
79,Lady Gaga,1980
80,Chuck Schumer,1969
81,John Lewis,1967
82,Julian Assange,1956
83,Betsy DeVos,1955
84,Joe Manchin,1954
85,Greta Thunberg,1948
86,Britney Spears,1920
87,Gavin Newsom,1914
88,Bill Maher,1890
89,Ron DeSantis,1885
90,William Barr,1823
91,Matt Gaetz,1805
92,Don Lemon,1791
93,Xi Jinping,1772
94,Megyn Kelly,1762
95,Chrissy Teigen,1748
96,Tulsi Gabbard,1733
97,Jim Jordan,1732
98,Beyoncé,1715
99,Antonio Brown,1711
100,Andrew Yang,1691
101,Scott Pruitt,1619
102,Kevin Durant,1605
103,Al Franken,1600
104,Devin Nunes,1595
105,Rex Tillerson,1578
106,Neymar,1562
107,Conor McGregor,1554
108,Trevor Noah,1538
109,Jim Acosta,1525
110,Rashida Tlaib,1523
111,Jake Tapper,1522
112,Simone Biles,1498
113,Susan Collins,1498
114,Seth Meyers,1493
